Pakistan|PK|Lahore|632.778,249.390
Nigeria|NG|Lagos|458.491,323.770
Hong Kong|HK|Hong Kong|733.727,277.197
Lithuania|LT|Kaunas|505.702,171.053
Colombia|CO|Bogota|263.845,328.998
Colombia|CO|Medellin|260.120,324.579
Zimbabwe|ZW|Harare|527.476,394.374
Slovakia|SK|Bratislava|490.661,195.046
Israel|IL|Tel Aviv|535.415,247.614
Namibia|NA|Windhoek|492.436,408.438
Czech Republic|CZ|Brno|489.363,191.401
Czech Republic|CZ|Prague|484.139,188.323
Belarus|BY|Minsk|514.434,174.696
Sweden|SE|Stockholm|491.488,154.503
Sweden|SE|Gotheborg|477.640,160.636
Korea|KR|Seoul|758.953,230.265
Malaysia|MY|Kuala Lumpur|705.639,333.527
Iran|IR|Tehran|575.462,236.276
Bangladesh|BD|Dhaka|674.463,272.964
Spain|ES|Madrid|441.048,221.023
Spain|ES|Zaragoza|447.852,216.982
Spain|ES|Valencia|449.079,224.122
Spain|ES|Almeria|444.006,232.639
Spain|ES|Caceres|434.558,224.089
Spain|ES|Bilbao|442.954,211.643
Spain|ES|Barcelona|455.240,217.839
Russia|RU|Yekaterinburg|590.368,163.891
Russia|RU|Moscow|537.436,167.894
Philippines|PH|UP Diliman|752.986,300.103
Philippines|PH|Manila|752.773,300.278
Philippines|PH|Quezon City|752.907,300.044
Philippines|PH|Cebu City|760.788,312.760
Philippines|PH|Cagayan de Oro|762.886,318.185
Philippines|PH|Makati City|752.883,300.425
Venezuela|VE|Caracas|282.188,312.295
Venezuela|VE|Merida|271.309,317.837
Venezuela|VE|Maracay|280.389,312.992
Uruguay|UY|Montevideo|312.705,446.372
Ukraine|UA|Kiev|522.081,187.022
Ukraine|UA|Lviv|506.849,189.164
Ukraine|UA|Britania|640.407,258.166
Taiwan|TW|Taipei|751.411,269.284
South Africa|ZA|Cape Town|495.106,443.278
South Africa|ZA|Johannesburg|519.448,419.417
Canada|CA|Toronto|259.275,210.341
Canada|CA|Montreal|273.998,204.114
Japan|JP|Tokyo|791.036,236.276
Germany|DE|Liepzig|479.141,183.877
Germany|DE|Koln|466.415,185.293
Germany|DE|Berlin|481.460,179.670
Germany|DE|Erlangen|476.065,190.039
Germany|DE|Munich|477.520,195.080
Germany|DE|Karlsruhe|469.917,192.063
Germany|DE|Heidelberg|470.536,190.703
China|CN|Shanghai|748.705,250.291
China|CN|Beijing|731.955,222.721
China|CN|Zhuhai|732.447,277.586
China|CN|Suzhou|746.510,250.074
China|CN|Shenzen|733.562,276.777
China|CN|Hangzhou|745.899,253.267
China|CN|Guangzhou|731.399,275.008
Singapore|SG|Singapore|711.116,338.889
New Zealand|NZ|Waitangi|875.305,447.545
New Zealand|NZ|Auckland|875.771,452.580
New Zealand|NZ|Wellington|872.120,466.987
New Zealand|NZ|Christchurch|864.913,474.414
New Zealand|NZ|Dunedin|857.513,482.331
